,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Constitución,-35.33,-72.42,285.66,92.0,100.0,3.96,CL,1596333391.0
1,Chapais,49.78,-74.85,292.15,88.0,1.0,1.5,CA,1596333391.0
2,Manta,-0.95,-80.73,296.15,83.0,75.0,5.1,EC,1596333151.0
3,Chumikan,54.72,135.31,284.05,90.0,100.0,5.72,RU,1596333391.0
4,Herat Province,34.5,62.0,291.12,36.0,0.0,3.29,AF,1596333392.0
5,Punta Arenas,-53.15,-70.92,275.15,93.0,100.0,2.6,CL,1596333392.0
6,Kruisfontein,-34.0,24.73,285.28,58.0,0.0,4.5,ZA,1596333360.0
8,Ushuaia,-54.8,-68.3,276.15,86.0,98.0,2.6,AR,1596333246.0
9,Golden,39.76,-105.22,298.15,31.0,40.0,2.6,US,1596333393.0
11,Cape Town,-33.93,18.42,284.15,76.0,0.0,4.6,ZA,1596333194.0
12,Mar del Plata,-38.0,-57.56,283.15,76.0,100.0,1.0,AR,1596333393.0
14,Sitka,57.05,-135.33,290.15,72.0,90.0,3.6,US,1596333394.0
15,Avarua,-21.21,-159.78,296.15,60.0,100.0,3.1,CK,1596333394.0
16,Severo-Kuril'sk,50.68,156.12,286.98,77.0,90.0,3.21,RU,1596333345.0
17,Busselton,-33.65,115.33,289.82,70.0,31.0,2.64,AU,1596333395.0
18,Port Alfred,-33.59,26.89,287.46,70.0,0.0,4.52,ZA,1596333395.0
19,Bambous Virieux,-20.34,57.76,294.15,88.0,75.0,8.2,MU,1596333395.0
20,Kavieng,-2.57,150.8,302.28,73.0,36.0,5.31,PG,1596333121.0
21,West Lafayette,40.43,-86.91,293.15,94.0,90.0,5.1,US,1596333200.0
22,Kapaa,22.08,-159.32,299.82,83.0,75.0,4.6,US,1596333341.0
23,Krasnogorsk,55.82,37.32,287.15,82.0,90.0,3.0,RU,1596333396.0
24,Hermanus,-34.42,19.23,290.37,39.0,0.0,1.34,ZA,1596333396.0
25,Makakilo City,21.35,-158.09,305.15,43.0,40.0,3.1,US,1596333397.0
26,Potiskum,11.71,11.07,299.19,71.0,96.0,4.0,NG,1596333397.0
27,Klaksvík,62.23,-6.59,283.15,100.0,60.0,6.2,FO,1596333397.0
28,Bonavista,48.65,-53.11,286.48,76.0,100.0,2.92,CA,1596333368.0
29,Yulara,-25.24,130.99,291.15,20.0,0.0,2.6,AU,1596333398.0
30,Tezu,27.92,96.17,303.46,63.0,18.0,1.09,IN,1596333398.0
31,Tasiilaq,65.61,-37.64,281.15,49.0,1.0,2.6,GL,1596333398.0
32,Albany,42.6,-73.97,297.04,56.0,98.0,0.95,US,1596333312.0
33,Aldan,58.6,125.39,287.96,68.0,99.0,5.59,RU,1596333398.0
34,East London,-33.02,27.91,288.23,52.0,0.0,4.31,ZA,1596333384.0
36,Tupiza,-21.45,-65.72,283.04,37.0,0.0,1.4,BO,1596333399.0
37,Rikitea,-23.12,-134.97,296.37,78.0,0.0,2.32,PF,1596333339.0
38,Los Llanos de Aridane,28.66,-17.92,295.15,83.0,96.0,5.7,ES,1596333108.0
39,Mataura,-46.19,168.86,284.96,84.0,100.0,0.69,NZ,1596333400.0
40,Saskylakh,71.92,114.08,295.18,40.0,100.0,3.88,RU,1596333400.0
41,Bredasdorp,-34.53,20.04,282.15,93.0,0.0,2.6,ZA,1596333400.0
42,Lompoc,34.64,-120.46,293.71,64.0,0.0,6.2,US,1596333400.0
43,Touros,-5.2,-35.46,296.15,94.0,40.0,3.6,BR,1596333401.0
44,Hilo,19.73,-155.09,301.15,61.0,90.0,2.1,US,1596333401.0
45,Port Blair,11.67,92.75,301.76,79.0,100.0,10.59,IN,1596333126.0
46,Narsaq,60.92,-46.05,282.15,70.0,99.0,1.5,GL,1596333196.0
47,Khandyga,62.67,135.6,297.98,36.0,0.0,1.62,RU,1596333402.0
48,Bluff,-46.6,168.33,284.04,89.0,100.0,4.41,NZ,1596333103.0
49,Gravdal,68.12,13.5,286.44,81.0,82.0,2.24,NO,1596333402.0
50,Krasnorechenskiy,44.63,135.35,301.62,54.0,99.0,1.29,RU,1596333402.0
51,Aliquippa,40.64,-80.24,296.15,88.0,90.0,1.5,US,1596333403.0
52,Hithadhoo,-0.6,73.08,301.49,73.0,21.0,5.03,MV,1596333403.0
53,Umm Kaddadah,13.6,26.69,296.48,79.0,100.0,3.16,SD,1596333403.0
54,Kartaly,53.05,60.65,292.87,57.0,0.0,2.7,RU,1596333403.0
55,Prieska,-29.66,22.75,283.39,42.0,0.0,1.11,ZA,1596333404.0
56,Teguise,29.06,-13.56,296.15,83.0,0.0,4.6,ES,1596333404.0
57,Dingle,11.0,122.67,301.63,73.0,100.0,2.0,PH,1596333404.0
58,Olafsvik,64.89,-23.71,281.84,90.0,100.0,8.29,IS,1596333404.0
59,La Ronge,55.1,-105.28,296.15,46.0,5.0,2.6,CA,1596333405.0
60,Wawa,9.9,4.42,296.13,88.0,93.0,2.85,NG,1596333405.0
61,Cartagena del Chairá,1.33,-74.84,294.76,96.0,17.0,1.32,CO,1596333405.0
62,Atuona,-9.8,-139.03,299.55,74.0,53.0,6.93,PF,1596333405.0
63,Kaitangata,-46.28,169.85,286.48,71.0,92.0,0.45,NZ,1596333394.0
64,Ekuvukeni,-28.47,30.16,282.81,47.0,0.0,1.17,ZA,1596333406.0
65,Byron Bay,-28.65,153.62,293.15,60.0,1.0,2.6,AU,1596333165.0
66,Thompson,55.74,-97.86,294.15,46.0,20.0,2.6,CA,1596333406.0
67,Labuhan,-6.88,112.21,300.59,66.0,1.0,3.43,ID,1596333398.0
68,Tabuk,17.42,121.44,301.9,71.0,100.0,0.97,PH,1596333407.0
69,Kita,13.03,-9.49,296.29,96.0,83.0,1.71,ML,1596333407.0
70,Upernavik,72.79,-56.15,278.79,69.0,0.0,5.94,GL,1596333407.0
71,Yārāda,17.65,83.27,301.15,83.0,40.0,1.0,IN,1596333407.0
72,Ostrovnoy,68.05,39.51,283.79,89.0,100.0,7.21,RU,1596333408.0
73,Bengkulu,-3.8,102.27,299.95,72.0,97.0,0.99,ID,1596333351.0
74,Geraldton,-28.77,114.6,286.15,76.0,0.0,6.7,AU,1596333275.0
75,Sørland,67.67,12.69,287.47,81.0,1.0,3.4,NO,1596333408.0
76,Ndélé,8.41,20.65,294.62,94.0,100.0,0.71,CF,1596333408.0
77,Homer,59.64,-151.55,287.15,93.0,90.0,1.5,US,1596333409.0
78,Ponta do Sol,32.67,-17.1,293.71,61.0,2.0,1.9,PT,1596333409.0
79,Hobart,-42.88,147.33,286.48,47.0,75.0,7.7,AU,1596333409.0
80,Bandarbeyla,9.49,50.81,298.69,65.0,95.0,11.51,SO,1596333409.0
81,Castro,-24.79,-50.01,284.17,90.0,0.0,1.5,BR,1596333410.0
82,Aitape,-3.14,142.35,299.28,87.0,88.0,2.11,PG,1596333410.0
83,Calamar,10.25,-74.91,299.76,88.0,96.0,1.4,CO,1596333410.0
84,Cherskiy,68.75,161.3,282.44,65.0,98.0,4.29,RU,1596333138.0
85,Jamestown,42.1,-79.24,293.15,88.0,75.0,2.1,US,1596333178.0
86,Longyearbyen,78.22,15.64,282.15,87.0,20.0,0.5,SJ,1596333367.0
87,Kerrobert,51.92,-109.13,298.15,38.0,20.0,3.6,CA,1596333411.0
88,Port Moresby,-9.44,147.18,302.15,54.0,40.0,7.7,PG,1596333411.0
90,Rawson,-43.3,-65.1,283.88,55.0,32.0,6.63,AR,1596333412.0
92,Ribeira Grande,38.52,-28.7,294.78,67.0,1.0,3.34,PT,1596333412.0
93,Porto-Novo,6.5,2.6,298.15,88.0,40.0,5.1,BJ,1596333412.0
94,Tuktoyaktuk,69.45,-133.04,285.15,87.0,75.0,7.2,CA,1596333413.0
95,Abhā,18.22,42.51,292.15,93.0,87.0,2.6,SA,1596333413.0
96,Atasū,48.68,71.64,295.02,44.0,23.0,5.96,KZ,1596333413.0
97,Norman Wells,65.28,-126.83,304.15,35.0,20.0,1.5,CA,1596333413.0
98,Dikson,73.51,80.55,282.87,82.0,19.0,8.76,RU,1596333413.0
99,Provideniya,64.38,-173.3,283.04,59.0,20.0,4.34,RU,1596333414.0
100,Hatillo,18.49,-66.83,299.26,92.0,82.0,5.2,PR,1596333414.0
101,Arraial do Cabo,-22.97,-42.03,293.57,76.0,8.0,5.66,BR,1596333332.0
102,New Norfolk,-42.78,147.06,286.48,59.0,91.0,1.34,AU,1596333414.0
104,Isangel,-19.55,169.27,297.15,78.0,90.0,7.7,VU,1596333415.0
105,Davila,18.47,120.58,301.15,83.0,90.0,2.1,PH,1596333415.0
106,Ruidoso,33.33,-105.67,289.15,72.0,20.0,5.7,US,1596333415.0
107,Carnarvon,-24.87,113.63,292.15,72.0,0.0,7.2,AU,1596333354.0
108,Vila Franca do Campo,37.72,-25.43,293.15,72.0,40.0,2.6,PT,1596333416.0
109,Khovd,48.01,91.64,287.94,50.0,0.0,2.7,MN,1596333416.0
110,Thinadhoo,0.53,72.93,301.27,78.0,43.0,4.92,MV,1596333416.0
111,Fort Nelson,58.81,-122.7,296.15,56.0,75.0,5.1,CA,1596333224.0
112,Lagoa,39.05,-27.98,294.77,70.0,0.0,3.76,PT,1596333417.0
113,Faanui,-16.48,-151.75,299.25,79.0,0.0,5.08,PF,1596333136.0
114,Westport,41.14,-73.36,300.15,69.0,1.0,4.1,US,1596333196.0
115,São Filipe,14.9,-24.5,298.4,84.0,0.0,1.45,CV,1596333126.0
116,Ahipara,-35.17,173.17,287.31,89.0,100.0,6.84,NZ,1596333376.0
117,Vaini,-21.2,-175.2,296.15,78.0,75.0,4.6,TO,1596333418.0
118,Port Macquarie,-31.43,152.92,292.04,66.0,0.0,0.45,AU,1596333418.0
119,Esperance,-33.87,121.9,283.15,87.0,100.0,7.2,AU,1596333126.0
120,Barrow,71.29,-156.79,276.15,73.0,90.0,4.1,US,1596333358.0
